filename,description
logo.png,Duck postmaster mascot holding a key and @ symbol
server_maintenance.png,Duck working on a server computer with cables
reading_scroll.png,Duck walking while reading a long scroll or log
lost_message.png,Duck walking with an envelope and a question mark overhead
storing_mail.png,Duck inserting a large envelope into a server mailbox
reading_log_confused.png,"Duck reading a scroll with a question mark, looking puzzled"
retrieving_mail.png,Duck pulling a large envelope out of a server mailbox
holding_multiple_emails.png,Duck holding a winged envelope overflowing with colorful mail
delivering_mail_rush.png,Duck rushing while carrying a large pile of colorful envelopes
showing_email.png,Duck presenting an email message on a clipboard or tablet
thinking.png,Duck in uniform saluting or scratching head with a question mark
posting_mail.png,Duck quickly inserting an envelope into a mailbox server
sorting_mail.png,Duck holding and displaying multiple colorful envelopes
flying_with_mail.png,Duck flying through the clouds carrying many envelopes
airmail_delivery.png,Duck flying through clouds delivering a single envelope
phishing_detection.png,Duck holding a fishing rod catching an envelope with a magnifying glass
using_tablet.png,Duck standing and working on a tablet device
wiring_server.png,Duck connecting cables to an electrical panel or server rack
datacenter_inspection.png,Duck wearing a hard hat inspecting server racks with cables
juggling_mail.png,Duck standing on a server juggling multiple floating envelopes
balancing_mail.png,Duck standing on a server with arms spread and envelopes floating above
tangled_in_cables.png,Duck tangled in network cables with emails floating around
holding_at_sign.png,Duck in uniform holding a lollipop-shaped @ symbol
reading_letter.png,Duck standing and reading a paper letter
writing_email.png,Duck sitting at a desk with a lamp composing an email
sending_to_server.png,Duck feeding an envelope into a mail server
presenting_server.png,Duck standing proudly next to a server rack
spam_tangle.png,Duck tangled in ropes with spam emails floating around
inspecting_email.png,Duck at a desk using a magnifying glass to examine an email
syncing_server.png,Duck pressing sync/refresh button on a mail server
empty_mailbox.png,Duck opening an empty server cabinet or mailbox
no_messages.png,Duck pointing with thought bubbles saying No Messages
server_ok.png,Duck giving thumbs up next to a server with a green checkmark
